2022-04-19 22:11:26.571459: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library libcudart.so.10.1
Epoch 233. Train Loss: 0.041429, Train Acc: 0.993287, Time 00:00:03
Epoch 234. Train Loss: 0.044855, Train Acc: 0.991214, Time 00:00:03
Epoch 235. Train Loss: 0.042737, Train Acc: 0.993189, Time 00:00:03
Epoch 236. Train Loss: 0.042627, Train Acc: 0.992004, Time 00:00:03
Epoch 237. Train Loss: 0.043906, Train Acc: 0.990721, Time 00:00:03
Epoch 238. Train Loss: 0.043552, Train Acc: 0.992596, Time 00:00:03
Epoch 239. Train Loss: 0.044694, Train Acc: 0.990819, Time 00:00:03
Epoch 240. Train Loss: 0.045168, Train Acc: 0.992201, Time 00:00:03
Epoch 241. Train Loss: 0.047839, Train Acc: 0.990721, Time 00:00:03
Epoch 242. Train Loss: 0.044519, Train Acc: 0.991708, Time 00:00:03
Epoch 243. Train Loss: 0.043664, Train Acc: 0.992300, Time 00:00:03
Epoch 244. Train Loss: 0.045127, Train Acc: 0.990918, Time 00:00:03
Epoch 245. Train Loss: 0.044899, Train Acc: 0.992201, Time 00:00:03
Epoch 246. Train Loss: 0.043738, Train Acc: 0.991905, Time 00:00:03
Epoch 247. Train Loss: 0.044327, Train Acc: 0.991017, Time 00:00:03
Epoch 248. Train Loss: 0.039939, Train Acc: 0.994274, Time 00:00:03
Epoch 249. Train Loss: 0.044648, Train Acc: 0.991412, Time 00:00:03
Epoch 250. Train Loss: 0.039480, Train Acc: 0.994373, Time 00:00:03
Epoch 251. Train Loss: 0.040193, Train Acc: 0.992991, Time 00:00:03
Epoch 252. Train Loss: 0.043993, Train Acc: 0.991510, Time 00:00:03
Epoch 253. Train Loss: 0.041941, Train Acc: 0.992794, Time 00:00:03
Epoch 254. Train Loss: 0.039767, Train Acc: 0.993090, Time 00:00:03
Epoch 255. Train Loss: 0.042122, Train Acc: 0.992794, Time 00:00:03
Epoch 256. Train Loss: 0.039723, Train Acc: 0.993583, Time 00:00:03
Epoch 257. Train Loss: 0.038614, Train Acc: 0.994669, Time 00:00:03
Epoch 258. Train Loss: 0.042380, Train Acc: 0.991807, Time 00:00:03
Epoch 259. Train Loss: 0.039017, Train Acc: 0.994472, Time 00:00:03
Epoch 260. Train Loss: 0.039653, Train Acc: 0.992892, Time 00:00:03
Epoch 261. Train Loss: 0.040352, Train Acc: 0.993682, Time 00:00:03
Epoch 262. Train Loss: 0.041633, Train Acc: 0.991609, Time 00:00:03
Epoch 263. Train Loss: 0.037682, Train Acc: 0.994274, Time 00:00:03
Epoch 264. Train Loss: 0.038300, Train Acc: 0.994669, Time 00:00:04
Epoch 265. Train Loss: 0.038806, Train Acc: 0.992695, Time 00:00:03
Epoch 266. Train Loss: 0.039947, Train Acc: 0.992892, Time 00:00:03
Epoch 267. Train Loss: 0.036626, Train Acc: 0.994274, Time 00:00:03
Epoch 268. Train Loss: 0.037324, Train Acc: 0.994472, Time 00:00:03
Epoch 269. Train Loss: 0.039121, Train Acc: 0.994571, Time 00:00:03
Epoch 270. Train Loss: 0.037937, Train Acc: 0.994274, Time 00:00:03
Epoch 271. Train Loss: 0.036411, Train Acc: 0.994669, Time 00:00:03
Epoch 272. Train Loss: 0.040861, Train Acc: 0.993485, Time 00:00:03
Epoch 273. Train Loss: 0.041517, Train Acc: 0.992103, Time 00:00:03
Epoch 274. Train Loss: 0.034652, Train Acc: 0.995360, Time 00:00:03
Epoch 275. Train Loss: 0.037234, Train Acc: 0.994077, Time 00:00:03
Epoch 276. Train Loss: 0.039600, Train Acc: 0.993386, Time 00:00:03
Epoch 277. Train Loss: 0.041813, Train Acc: 0.991708, Time 00:00:03
Epoch 278. Train Loss: 0.041267, Train Acc: 0.992892, Time 00:00:03
Epoch 279. Train Loss: 0.037739, Train Acc: 0.993781, Time 00:00:02
Epoch 280. Train Loss: 0.040407, Train Acc: 0.993682, Time 00:00:03
Epoch 281. Train Loss: 0.039338, Train Acc: 0.993978, Time 00:00:03
Epoch 282. Train Loss: 0.036948, Train Acc: 0.994669, Time 00:00:03
Epoch 283. Train Loss: 0.034862, Train Acc: 0.994867, Time 00:00:03
Epoch 284. Train Loss: 0.037541, Train Acc: 0.993781, Time 00:00:03
Epoch 285. Train Loss: 0.034831, Train Acc: 0.994768, Time 00:00:03
Epoch 286. Train Loss: 0.036679, Train Acc: 0.994867, Time 00:00:03
Epoch 287. Train Loss: 0.033334, Train Acc: 0.996150, Time 00:00:03
Epoch 288. Train Loss: 0.034853, Train Acc: 0.994571, Time 00:00:03
Epoch 289. Train Loss: 0.035318, Train Acc: 0.993880, Time 00:00:03
Epoch 290. Train Loss: 0.036323, Train Acc: 0.995064, Time 00:00:03
